pmid cite-count cite-percent
21423165 118 0.8553823849220732
17173049 115 0.8336353751359188
21167025 81 0.5871692642261689
21558424 79 0.572671257702066
25188300 70 0.5074302283436027
23583105 58 0.42044218919898513
17999366 57 0.41319318593693366
12669065 56 0.4059441826748822
24259569 55 0.3986951794128307
10433268 54 0.39144617615077926
22495306 53 0.3841971728887278
25363760 52 0.3769481696266763
22573675 50 0.3624501631025734
10508514 46 0.3334541500543675
20559336 45 0.32620514679231605
10806096 40 0.2899601304820587
27161151 40 0.2899601304820587
26886798 39 0.28271112722000724
11431708 39 0.28271112722000724
25363768 39 0.28271112722000724
23758760 39 0.28271112722000724
22495309 38 0.2754621239579558
17363630 37 0.2682131206959043
26027926 36 0.26096411743385284
12920066 36 0.26096411743385284
10433269 36 0.26096411743385284
28179641 36 0.26096411743385284
18252227 35 0.25371511417180137
17322880 35 0.25371511417180137
15814786 34 0.2464661109097499
22699619 34 0.2464661109097499
26559786 34 0.2464661109097499
21962519 33 0.23921710764769843
23758743 33 0.23921710764769843
22670140 32 0.23196810438564697
22892527 31 0.2247191011235955
17823315 31 0.2247191011235955
26134648 30 0.21747009786154403
24153177 30 0.21747009786154403
26687841 29 0.21022109459949256
22495311 29 0.21022109459949256
18615476 28 0.2029720913374411
21795692 28 0.2029720913374411
20531469 28 0.2029720913374411
25852484 28 0.2029720913374411
14606691 27 0.19572308807538963
18511691 27 0.19572308807538963
18923512 26 0.18847408481333816
7792363 26 0.18847408481333816
11242117 25 0.1812250815512867
25071925 25 0.1812250815512867
22699620 25 0.1812250815512867
12065602 25 0.1812250815512867
11242118 25 0.1812250815512867
21606927 25 0.1812250815512867
22542183 25 0.1812250815512867
18414403 25 0.1812250815512867
20385823 24 0.17397607828923523
21658581 24 0.17397607828923523
29719671 24 0.17397607828923523
19404257 24 0.17397607828923523
26402605 24 0.17397607828923523
16439662 24 0.17397607828923523
17034946 24 0.17397607828923523
24132240 24 0.17397607828923523
19822762 23 0.16672707502718376
